"eventDate","count"
2007-05-01,1
2008-05-01,3
2008-09-01,18
2008-10-01,12
2008-11-01,10
2008-12-01,1
2009-01-01,4
2009-05-01,1
2009-06-01,1
2010-04-01,2
2010-05-01,1
2011-05-01,3
2011-06-01,2
2012-03-01,10
2012-04-01,1
2012-06-01,1
2012-07-01,4
2012-08-01,1
2013-02-01,33
2013-05-01,7
2013-07-01,2
2013-08-01,10
2014-01-01,7
2014-02-01,4
2014-04-01,1
2014-05-01,3
2014-06-01,5
2014-07-01,19
2015-01-01,2
2015-02-01,146
2015-03-01,11
2015-04-01,5
2015-05-01,39
2015-06-01,10
2015-08-01,3
2015-09-01,2
2015-10-01,6
2015-12-01,4
2016-01-01,3
2016-03-01,46
2016-04-01,12
2016-05-01,16
2016-06-01,15
2016-07-01,31
2016-08-01,9
2016-10-01,3
2017-04-01,6
2017-05-01,40
2017-06-01,10
2017-07-01,40
2017-11-01,3
2017-12-01,6
2018-04-01,7
2018-05-01,31
2018-06-01,6
2018-07-01,16
2018-08-01,21
2019-03-01,3
2019-04-01,12
2019-05-01,21
2019-06-01,3
2019-07-01,9
2020-01-01,4
2020-02-01,33
